   15	 0.110	31.038	29.965	28.893	27.822	26.751	25.680	24.610	23.540	22.473	21.405	20.338	19.271	18.204	17.139	16.075	15.011	13.948	12.886	11.824
   16	 0.317	31.278	30.240	29.201	28.163	27.125	26.088	25.051	24.015	22.980	21.946	20.913	19.879	18.846	17.814	16.783	15.752	14.722	13.693	12.664
   17	 0.097	31.348	30.600	29.851	29.102	28.354	27.606	26.858	26.111	25.364	24.618	23.873	23.127	22.381	21.633	20.883	20.134	19.384	18.635	17.885
   18	 0.517	31.624	30.730	29.837	28.943	28.050	27.157	26.265	25.373	24.481	23.591	22.702	21.812	20.921	20.031	19.141	18.251	17.360	16.469	15.576
   19	 0.378	31.123	29.868	28.613	27.359	26.106	24.853	23.600	22.348	21.097	19.846	18.594	17.342	16.091	14.839	13.586	12.333	11.078	 9.823	 8.568
   20	 0.536	31.432	30.328	29.225	28.122	27.019	25.917	24.815	23.713	22.614	21.515	20.416	19.317	18.219	17.122	16.026	14.930	13.836	12.741	11.648
   21	 0.956	31.963	30.969	29.976	28.983	27.990	26.997	26.005	25.012	24.021	23.031	22.042	21.052	20.062	19.072	18.083	17.095	16.106	15.117	14.128
   22	 0.148	31.226	30.304	29.382	28.461	27.539	26.619	25.698	24.778	23.859	22.942	22.024	21.107	20.189	19.271	18.354	17.437	16.521	15.603	14.685
   23	 0.869	31.816	30.762	29.709	28.655	27.602	26.550	25.498	24.446	23.395	22.346	21.297	20.248	19.198	18.150	17.103	16.056	15.010	13.964	12.919
   24	 0.185	31.202	30.218	29.234	28.251	27.268	26.286	25.304	24.322	23.342	22.363	21.385	20.406	19.427	18.449	17.472	16.495	15.519	14.542	13.566
   25	 0.290	31.084	29.879	28.674	27.470	26.266	25.063	23.859	22.657	21.456	20.256	19.054	17.852	16.651	15.450	14.249	13.048	11.845	10.642	 9.439
   26	 0.459	31.565	30.672	29.778	28.885	27.992	27.099	26.207	25.315	24.423	23.533	22.644	21.754	20.864	19.973	19.083	18.194	17.303	16.412	15.520
   27	 0.817	31.817	30.817	29.817	28.817	27.817	26.818	25.819	24.820	23.823	22.827	21.831	20.834	19.838	18.842	17.847	16.852	15.858	14.863	13.868
   28	 0.545	31.700	30.855	30.010	29.164	28.319	27.475	26.631	25.787	24.943	24.101	23.260	22.419	21.576	20.733	19.890	19.046	18.202	17.357	16.511
   29	 0.308	31.187	30.067	28.947	27.827	26.708	25.589	24.471	23.353	22.237	21.122	20.007	18.891	17.776	16.662	15.549	14.437	13.325	12.213	11.102
   30	 0.624	31.385	30.147	28.908	27.670	26.432	25.195	23.958	22.722	21.488	20.253	19.018	17.783	16.548	15.313	14.078	12.843	11.606	10.369	 9.131
   31	 0.476	31.345	30.215	29.084	27.954	26.825	25.696	24.567	23.439	22.313	21.187	20.062	18.936	17.811	16.687	15.564	14.441	13.319	12.197	11.076
   32	 0.432	31.556	30.680	29.805	28.930	28.054	27.180	26.305	25.431	24.557	23.685	22.814	21.942	21.070	20.197	19.324	18.452	17.579	16.705	15.830
   33	 0.374	31.042	29.711	28.379	27.048	25.718	24.388	23.058	21.729	20.401	19.072	17.743	16.413	15.083	13.753	12.422	11.090	 9.759	 8.428	 7.096
   34	 0.529	31.731	30.933	30.136	29.338	28.540	27.743	26.947	26.150	25.354	24.559	23.765	22.971	22.175	21.378	20.580	19.782	18.984	18.185	17.385
   35	 0.210	31.122	30.034	28.947	27.860	26.774	25.688	24.603	23.518	22.435	21.353	20.270	19.188	18.106	17.025	15.946	14.867	13.788	12.711	11.633
   36	 0.652	31.719	30.787	29.855	28.923	27.991	27.059	26.128	25.197	24.266	23.338	22.409	21.481	20.552	19.622	18.694	17.766	16.837	15.908	14.978
   37	 0.433	31.285	30.138	28.991	27.844	26.698	25.552	24.406	23.262	22.119	20.976	19.834	18.691	17.549	16.408	15.268	14.128	12.988	11.848	10.708
   38	 0.483	31.465	30.448	29.431	28.414	27.398	26.382	25.367	24.351	23.338	22.325	21.313	20.300	19.288	18.276	17.266	16.256	15.246	14.237	13.228
   39	 0.351	31.547	30.742	29.937	29.132	28.328	27.524	26.720	25.916	25.113	24.311	23.510	22.709	21.907	21.104	20.300	19.496	18.691	17.886	17.080
   40	 0.128	31.035	29.942	28.849	27.756	26.664	25.573	24.482	23.392	22.303	21.215	20.127	19.039	17.951	16.865	15.780	14.695	13.611	12.527	11.444
   41	 0.099	31.138	30.177	29.216	28.256	27.296	26.337	25.378	24.419	23.462	22.506	21.551	20.595	19.639	18.683	17.729	16.775	15.821	14.867	13.913
   42	 0.091	30.827	29.564	28.301	27.038	25.776	24.514	23.252	21.991	20.732	19.471	18.210	16.949	15.687	14.426	13.163	11.900	10.636	 9.372	 8.107
