   48	 0.142	 1.199	 2.256	 3.313	 4.370	 5.428	 6.487	 7.546	 8.605	 9.665	10.724	11.784	12.844	13.903	14.963	16.022	17.082	18.142	19.202	20.262
   49	 0.066	 0.967	 1.867	 2.769	 3.670	 4.573	 5.476	 6.380	 7.285	 8.191	 9.097	10.003	10.910	11.818	12.726	13.634	14.541	15.448	16.355	17.260
   50	 0.352	 1.053	 1.754	 2.456	 3.157	 3.860	 4.563	 5.267	 5.970	 6.674	 7.378	 8.081	 8.784	 9.487	10.189	10.892	11.595	12.297	13.000	13.702
   51	 0.476	 1.420	 2.365	 3.310	 4.255	 5.202	 6.149	 7.096	 8.044	 8.993	 9.942	10.892	11.842	12.793	13.744	14.696	15.648	16.600	17.552	18.504
   52	 0.145	 1.098	 2.052	 3.006	 3.960	 4.916	 5.873	 6.829	 7.787	 8.746	 9.705	10.664	11.625	12.585	13.547	14.509	15.470	16.433	17.395	18.356
   53	 0.893	 1.834	 2.775	 3.715	 4.656	 5.598	 6.540	 7.482	 8.424	 9.367	10.310	11.253	12.197	13.141	14.086	15.030	15.976	16.922	17.867	18.812
   54	 0.627	 1.629	 2.631	 3.633	 4.635	 5.638	 6.641	 7.644	 8.648	 9.652	10.655	11.659	12.663	13.667	14.671	15.675	16.680	17.685	18.689	19.694
   55	 0.567	 1.539	 2.511	 3.483	 4.456	 5.429	 6.403	 7.377	 8.352	 9.327	10.302	11.278	12.254	13.230	14.207	15.184	16.162	17.140	18.117	19.094
   56	 0.622	 1.850	 3.077	 4.305	 5.533	 6.760	 7.987	 9.213	10.439	11.664	12.888	14.113	15.337	16.561	17.786	19.012	20.238	21.464	22.691	23.918
   57	 0.234	 1.160	 2.086	 3.012	 3.939	 4.867	 5.796	 6.725	 7.655	 8.586	 9.517	10.449	11.382	12.315	13.249	14.183	15.116	16.050	16.984	17.916
   58	 0.446	 1.621	 2.797	 3.972	 5.148	 6.324	 7.499	 8.674	 9.849	11.022	12.195	13.368	14.539	15.711	16.882	18.053	19.225	20.396	21.567	22.738
   59	 0.808	 2.144	 3.480	 4.816	 6.152	 7.487	 8.822	10.156	11.490	12.824	14.159	15.494	16.830	18.166	19.504	20.843	22.182	23.521	24.861	26.201
   60	 0.159	 1.137	 2.116	 3.095	 4.074	 5.054	 6.036	 7.017	 8.000	 8.983	 9.966	10.950	11.935	12.920	13.906	14.892	15.878	16.865	17.852	18.838
   61	 0.675	 1.526	 2.378	 3.229	 4.081	 4.934	 5.788	 6.643	 7.498	 8.354	 9.211	10.068	10.926	11.785	12.643	13.502	14.359	15.217	16.074	16.930
